Proxy,Type,Country,Latency (s),Speed (B/s),Status
34.87.7.55:55124,N/A,N/A,N/A,N/A,FAILED
8.213.128.6:11,N/A,N/A,N/A,N/A,FAILED
192.252.220.89:4145,N/A,N/A,N/A,N/A,FAILED
181.115.75.102:5678,N/A,N/A,N/A,N/A,FAILED
108.181.132.115:50825,N/A,N/A,N/A,N/A,FAILED
188.125.169.215:10820,N/A,N/A,N/A,N/A,FAILED
195.191.214.118:46657,N/A,N/A,N/A,N/A,FAILED
162.19.7.48:60113,N/A,N/A,N/A,N/A,FAILED
44.40.19.31:1193,N/A,N/A,N/A,N/A,FAILED
142.54.231.38:4145,N/A,N/A,N/A,N/A,FAILED
201.234.24.89:4153,N/A,N/A,N/A,N/A,FAILED
192.111.135.18:18301,N/A,N/A,N/A,N/A,FAILED
192.111.137.37:18762,N/A,N/A,N/A,N/A,FAILED
163.172.166.35:16379,N/A,N/A,N/A,N/A,FAILED
66.29.128.245:46982,N/A,N/A,N/A,N/A,FAILED
119.18.158.130:4153,N/A,N/A,N/A,N/A,FAILED
46.151.83.231:443,N/A,N/A,N/A,N/A,FAILED
109.183.170.45:3128,N/A,N/A,N/A,N/A,FAILED
221.119.143.58:8080,N/A,N/A,N/A,N/A,FAILED
38.54.101.254:8060,N/A,N/A,N/A,N/A,FAILED
8.221.138.111:8080,N/A,N/A,N/A,N/A,FAILED
45.234.83.248:8080,N/A,N/A,N/A,N/A,FAILED
108.175.24.1:13135,N/A,N/A,N/A,N/A,FAILED
45.6.95.68:4153,N/A,N/A,N/A,N/A,FAILED
2.14.140.89:8080,N/A,N/A,N/A,N/A,FAILED
162.240.217.45:59881,N/A,N/A,N/A,N/A,FAILED
1.75.121.63:52515,N/A,N/A,N/A,N/A,FAILED
156.253.176.138:3128,N/A,N/A,N/A,N/A,FAILED
87.98.129.60:20285,N/A,N/A,N/A,N/A,FAILED
125.70.227.214:10800,N/A,N/A,N/A,N/A,FAILED
129.205.244.158:1080,N/A,N/A,N/A,N/A,FAILED
27.77.230.109:1080,N/A,N/A,N/A,N/A,FAILED
66.29.128.243:22572,N/A,N/A,N/A,N/A,FAILED
87.213.222.136:80,N/A,N/A,N/A,N/A,FAILED
103.160.182.33:8080,N/A,N/A,N/A,N/A,FAILED
93.171.243.253:1080,N/A,N/A,N/A,N/A,FAILED
74.208.51.197:5000,N/A,N/A,N/A,N/A,FAILED
46.173.175.166:10801,N/A,N/A,N/A,N/A,FAILED
67.43.236.20:21929,N/A,N/A,N/A,N/A,FAILED
83.66.20.224:1080,N/A,N/A,N/A,N/A,FAILED
153.62.129.51:8081,N/A,N/A,N/A,N/A,FAILED
125.87.82.171:2324,N/A,N/A,N/A,N/A,FAILED
177.221.165.111:8081,N/A,N/A,N/A,N/A,FAILED
218.28.54.154:3128,N/A,N/A,N/A,N/A,FAILED
162.19.7.57:64709,N/A,N/A,N/A,N/A,FAILED
67.43.236.18:10403,N/A,N/A,N/A,N/A,FAILED
45.120.38.246:1088,N/A,N/A,N/A,N/A,FAILED
161.139.147.99:3128,N/A,N/A,N/A,N/A,FAILED
202.51.124.166:1080,N/A,N/A,N/A,N/A,FAILED
69.197.167.74:6526,N/A,N/A,N/A,N/A,FAILED
41.223.108.13:1080,N/A,N/A,N/A,N/A,FAILED
51.161.16.116:80,N/A,N/A,N/A,N/A,FAILED
51.83.116.3:41928,N/A,N/A,N/A,N/A,FAILED
67.213.212.52:51299,N/A,N/A,N/A,N/A,FAILED
85.105.135.205:1080,N/A,N/A,N/A,N/A,FAILED
66.228.35.209:48487,N/A,N/A,N/A,N/A,FAILED
213.222.34.200:4145,N/A,N/A,N/A,N/A,FAILED
111.132.16.238:3389,N/A,N/A,N/A,N/A,FAILED
38.240.45.111:3128,N/A,N/A,N/A,N/A,FAILED
213.252.245.221:6118,N/A,N/A,N/A,N/A,FAILED
157.89.46.130:8888,N/A,N/A,N/A,N/A,FAILED
41.70.106.1:5678,N/A,N/A,N/A,N/A,FAILED
91.217.72.126:6855,N/A,N/A,N/A,N/A,FAILED
177.136.124.36:3629,N/A,N/A,N/A,N/A,FAILED
8.212.165.164:3128,N/A,N/A,N/A,N/A,FAILED
152.53.36.109:45030,N/A,N/A,N/A,N/A,FAILED
185.122.204.56:41055,N/A,N/A,N/A,N/A,FAILED
110.72.181.185:3128,N/A,N/A,N/A,N/A,FAILED
103.156.17.240:8080,N/A,N/A,N/A,N/A,FAILED
72.10.160.91:19797,N/A,N/A,N/A,N/A,FAILED
184.174.56.80:5092,N/A,N/A,N/A,N/A,FAILED
74.230.30.81:27661,N/A,N/A,N/A,N/A,FAILED
176.236.37.132:1080,N/A,N/A,N/A,N/A,FAILED
162.0.220.234:12644,N/A,N/A,N/A,N/A,FAILED
3.33.2.28:8050,N/A,N/A,N/A,N/A,FAILED
77.104.75.97:5678,N/A,N/A,N/A,N/A,FAILED
181.129.74.58:30431,N/A,N/A,N/A,N/A,FAILED
149.56.96.252:9300,N/A,N/A,N/A,N/A,FAILED
170.106.184.175:8171,N/A,N/A,N/A,N/A,FAILED
27.64.163.40:13267,N/A,N/A,N/A,N/A,FAILED
92.205.60.110:55539,N/A,N/A,N/A,N/A,FAILED
154.6.99.61:3128,N/A,N/A,N/A,N/A,FAILED
167.99.87.87:80,N/A,N/A,N/A,N/A,FAILED
38.91.107.220:34616,N/A,N/A,N/A,N/A,FAILED
103.145.34.150:1111,N/A,N/A,N/A,N/A,FAILED
72.167.150.81:53503,N/A,N/A,N/A,N/A,FAILED
190.6.141.30:999,N/A,N/A,N/A,N/A,FAILED
178.153.241.108:8080,N/A,N/A,N/A,N/A,FAILED
51.159.188.105:10237,N/A,N/A,N/A,N/A,FAILED
87.84.126.216:5900,N/A,N/A,N/A,N/A,FAILED
185.255.134.139:4444,N/A,N/A,N/A,N/A,FAILED
104.238.100.115:45314,N/A,N/A,N/A,N/A,FAILED
51.83.116.3:50149,N/A,N/A,N/A,N/A,FAILED
222.68.36.181:2324,N/A,N/A,N/A,N/A,FAILED
67.43.236.18:32303,N/A,N/A,N/A,N/A,FAILED
206.155.214.128:80,N/A,N/A,N/A,N/A,FAILED
103.66.233.173:4145,N/A,N/A,N/A,N/A,FAILED
175.110.112.72:31954,N/A,N/A,N/A,N/A,FAILED
108.184.1.216:53854,N/A,N/A,N/A,N/A,FAILED
109.121.16.77:4991,N/A,N/A,N/A,N/A,FAILED
94.141.99.147:3128,N/A,N/A,N/A,N/A,FAILED
190.12.58.2:1001,N/A,N/A,N/A,N/A,FAILED
121.198.70.184:80,N/A,N/A,N/A,N/A,FAILED
35.78.109.235:80,N/A,N/A,N/A,N/A,FAILED
38.65.172.4:999,N/A,N/A,N/A,N/A,FAILED
218.26.101.226:53813,N/A,N/A,N/A,N/A,FAILED
102.222.51.105:8080,N/A,N/A,N/A,N/A,FAILED
206.85.9.134:8080,N/A,N/A,N/A,N/A,FAILED
222.68.40.126:2324,N/A,N/A,N/A,N/A,FAILED
222.68.36.252:2324,N/A,N/A,N/A,N/A,FAILED
102.176.88.66:33617,N/A,N/A,N/A,N/A,FAILED
222.68.37.112:1080,N/A,N/A,N/A,N/A,FAILED
45.86.6.62:8080,N/A,N/A,N/A,N/A,FAILED
29.235.136.234:59259,N/A,N/A,N/A,N/A,FAILED
103.79.96.193:4153,N/A,N/A,N/A,N/A,FAILED
111.72.193.66:2324,N/A,N/A,N/A,N/A,FAILED
146.190.218.26:13108,N/A,N/A,N/A,N/A,FAILED
103.109.2.94:4153,N/A,N/A,N/A,N/A,FAILED
167.87.82.30:8080,N/A,N/A,N/A,N/A,FAILED
200.63.107.118:8089,N/A,N/A,N/A,N/A,FAILED
185.43.249.148:39316,N/A,N/A,N/A,N/A,FAILED
108.181.132.118:47129,N/A,N/A,N/A,N/A,FAILED
173.241.48.55:162,N/A,N/A,N/A,N/A,FAILED
182.204.182.78:1080,N/A,N/A,N/A,N/A,FAILED
170.245.248.45:60606,N/A,N/A,N/A,N/A,FAILED
117.54.156.245:8080,N/A,N/A,N/A,N/A,FAILED
222.67.12.131:2324,N/A,N/A,N/A,N/A,FAILED
35.179.75.221:20046,N/A,N/A,N/A,N/A,FAILED
111.132.16.13:3389,N/A,N/A,N/A,N/A,FAILED
222.68.37.224:2324,N/A,N/A,N/A,N/A,FAILED
194.150.71.0:7060,N/A,N/A,N/A,N/A,FAILED
49.0.43.238:39930,N/A,N/A,N/A,N/A,FAILED
222.67.10.71:2324,N/A,N/A,N/A,N/A,FAILED
94.249.221.93:49200,N/A,N/A,N/A,N/A,FAILED
196.204.83.237:1976,N/A,N/A,N/A,N/A,FAILED
103.51.205.20:8080,N/A,N/A,N/A,N/A,FAILED
196.0.111.194:34638,N/A,N/A,N/A,N/A,FAILED
186.96.97.180:999,N/A,N/A,N/A,N/A,FAILED
49.86.49.241:8888,N/A,N/A,N/A,N/A,FAILED
49.71.105.203:8888,N/A,N/A,N/A,N/A,FAILED
37.26.86.206:47464,N/A,N/A,N/A,N/A,FAILED
103.168.254.33:8080,N/A,N/A,N/A,N/A,FAILED
14.143.130.210:80,N/A,N/A,N/A,N/A,FAILED
103.112.144.29:8118,N/A,N/A,N/A,N/A,FAILED
103.176.96.172:1565,N/A,N/A,N/A,N/A,FAILED
46.64.137.233:80,N/A,N/A,N/A,N/A,FAILED
103.52.144.110:8021,N/A,N/A,N/A,N/A,FAILED
164.163.73.69:999,N/A,N/A,N/A,N/A,FAILED
190.152.5.17:39888,N/A,N/A,N/A,N/A,FAILED
103.176.96.185:8082,N/A,N/A,N/A,N/A,FAILED
45.149.93.123:9999,N/A,N/A,N/A,N/A,FAILED
222.68.37.75:1080,N/A,N/A,N/A,N/A,FAILED
103.169.139.13:8081,N/A,N/A,N/A,N/A,FAILED
103.30.181.182:8080,N/A,N/A,N/A,N/A,FAILED
157.20.98.74:1111,N/A,N/A,N/A,N/A,FAILED
141.11.241.127:8080,N/A,N/A,N/A,N/A,FAILED
45.119.55.157:3128,N/A,N/A,N/A,N/A,FAILED
190.95.132.189:999,N/A,N/A,N/A,N/A,FAILED
196.251.222.233:8083,N/A,N/A,N/A,N/A,FAILED
103.126.87.144:8081,N/A,N/A,N/A,N/A,FAILED
222.67.8.254:1080,N/A,N/A,N/A,N/A,FAILED
103.171.245.165:1080,N/A,N/A,N/A,N/A,FAILED
38.137.252.7:999,N/A,N/A,N/A,N/A,FAILED
172.232.121.132:8080,N/A,N/A,N/A,N/A,FAILED
202.136.89.142:27503,N/A,N/A,N/A,N/A,FAILED
118.113.245.112:2324,N/A,N/A,N/A,N/A,FAILED
114.91.25.59:1080,N/A,N/A,N/A,N/A,FAILED
111.72.198.12:2324,N/A,N/A,N/A,N/A,FAILED
182.204.181.77:1080,N/A,N/A,N/A,N/A,FAILED
196.204.83.228:1976,N/A,N/A,N/A,N/A,FAILED
222.68.40.59:2324,N/A,N/A,N/A,N/A,FAILED
190.60.44.234:999,N/A,N/A,N/A,N/A,FAILED
36.90.25.181:8080,N/A,N/A,N/A,N/A,FAILED
180.74.171.206:8080,N/A,N/A,N/A,N/A,FAILED
103.134.222.186:8080,N/A,N/A,N/A,N/A,FAILED
103.235.152.170:57413,N/A,N/A,N/A,N/A,FAILED
222.70.146.212:1080,N/A,N/A,N/A,N/A,FAILED
203.161.30.139:8070,N/A,N/A,N/A,N/A,FAILED
222.67.12.40:1080,N/A,N/A,N/A,N/A,FAILED
103.243.177.129:8080,N/A,N/A,N/A,N/A,FAILED
222.68.39.0:2324,N/A,N/A,N/A,N/A,FAILED
222.68.38.14:1080,N/A,N/A,N/A,N/A,FAILED
209.97.163.81:8888,N/A,N/A,N/A,N/A,FAILED
222.67.12.185:1080,N/A,N/A,N/A,N/A,FAILED
114.91.24.229:1080,N/A,N/A,N/A,N/A,FAILED
5.10.248.107:80,N/A,N/A,N/A,N/A,FAILED
45.70.236.194:999,N/A,N/A,N/A,N/A,FAILED
141.136.56.104:999,N/A,N/A,N/A,N/A,FAILED
43.249.143.166:8080,N/A,N/A,N/A,N/A,FAILED
103.145.132.16:8080,N/A,N/A,N/A,N/A,FAILED
94.249.220.135:49200,N/A,N/A,N/A,N/A,FAILED
222.67.8.128:1080,N/A,N/A,N/A,N/A,FAILED
103.67.84.146:8080,N/A,N/A,N/A,N/A,FAILED
103.149.238.106:8080,N/A,N/A,N/A,N/A,FAILED
186.148.31.19:999,N/A,N/A,N/A,N/A,FAILED
103.160.41.65:8080,N/A,N/A,N/A,N/A,FAILED
103.154.25.126:8080,N/A,N/A,N/A,N/A,FAILED
222.67.15.76:1080,N/A,N/A,N/A,N/A,FAILED
222.67.8.205:1080,N/A,N/A,N/A,N/A,FAILED
157.66.16.42:8070,N/A,N/A,N/A,N/A,FAILED
222.68.38.82:2324,N/A,N/A,N/A,N/A,FAILED
222.68.37.46:2324,N/A,N/A,N/A,N/A,FAILED
117.3.64.126:10001,N/A,N/A,N/A,N/A,FAILED
172.235.29.87:8080,N/A,N/A,N/A,N/A,FAILED
27.147.175.115:8080,N/A,N/A,N/A,N/A,FAILED
103.190.60.28:9090,N/A,N/A,N/A,N/A,FAILED
114.91.25.83:1080,N/A,N/A,N/A,N/A,FAILED
103.148.130.6:8080,N/A,N/A,N/A,N/A,FAILED
61.174.243.28:10916,N/A,N/A,N/A,N/A,FAILED
182.204.179.34:1080,N/A,N/A,N/A,N/A,FAILED
102.222.62.111:8080,N/A,N/A,N/A,N/A,FAILED
203.111.253.103:8080,N/A,N/A,N/A,N/A,FAILED
102.213.241.70:8080,N/A,N/A,N/A,N/A,FAILED
36.77.217.161:8081,N/A,N/A,N/A,N/A,FAILED
188.132.150.37:8080,N/A,N/A,N/A,N/A,FAILED
182.204.180.146:1080,N/A,N/A,N/A,N/A,FAILED
154.73.29.129:8080,N/A,N/A,N/A,N/A,FAILED
111.72.194.201:2324,N/A,N/A,N/A,N/A,FAILED
45.86.6.137:8080,N/A,N/A,N/A,N/A,FAILED
179.107.159.103:8080,N/A,N/A,N/A,N/A,FAILED
103.48.70.81:83,N/A,N/A,N/A,N/A,FAILED
222.70.145.9:1080,N/A,N/A,N/A,N/A,FAILED
222.68.37.254:2324,N/A,N/A,N/A,N/A,FAILED
222.68.38.115:1080,N/A,N/A,N/A,N/A,FAILED
200.10.30.129:999,N/A,N/A,N/A,N/A,FAILED
103.245.205.226:6969,N/A,N/A,N/A,N/A,FAILED
69.49.228.101:3128,N/A,N/A,N/A,N/A,FAILED
182.204.182.147:1080,N/A,N/A,N/A,N/A,FAILED
103.126.87.112:3030,N/A,N/A,N/A,N/A,FAILED
41.65.236.47:1976,N/A,N/A,N/A,N/A,FAILED
222.68.42.88:1080,N/A,N/A,N/A,N/A,FAILED
222.68.41.137:2324,N/A,N/A,N/A,N/A,FAILED
154.65.39.7:80,N/A,N/A,N/A,N/A,FAILED
154.65.39.8:80,N/A,N/A,N/A,N/A,FAILED
2.179.193.146:80,N/A,N/A,N/A,N/A,FAILED
81.62.179.218:5472,N/A,N/A,N/A,N/A,FAILED
222.68.36.49:1080,N/A,N/A,N/A,N/A,FAILED
197.232.85.163:8080,N/A,N/A,N/A,N/A,FAILED
185.105.102.189:80,N/A,N/A,N/A,N/A,FAILED
103.191.115.252:82,N/A,N/A,N/A,N/A,FAILED
103.179.252.167:8181,N/A,N/A,N/A,N/A,FAILED
181.78.21.74:999,N/A,N/A,N/A,N/A,FAILED
181.78.21.38:999,N/A,N/A,N/A,N/A,FAILED
103.147.246.185:3127,N/A,N/A,N/A,N/A,FAILED
38.159.227.130:999,N/A,N/A,N/A,N/A,FAILED
222.68.36.25:1080,N/A,N/A,N/A,N/A,FAILED
161.97.136.251:3128,N/A,N/A,N/A,N/A,FAILED
148.230.195.165:6969,N/A,N/A,N/A,N/A,FAILED
103.219.75.2:8080,N/A,N/A,N/A,N/A,FAILED
115.147.63.59:8081,N/A,N/A,N/A,N/A,FAILED
36.72.23.92:8080,N/A,N/A,N/A,N/A,FAILED
103.169.255.196:6080,N/A,N/A,N/A,N/A,FAILED
103.133.26.75:8181,N/A,N/A,N/A,N/A,FAILED
119.2.48.12:9669,N/A,N/A,N/A,N/A,FAILED
160.22.22.89:3125,N/A,N/A,N/A,N/A,FAILED
36.37.224.125:8080,N/A,N/A,N/A,N/A,FAILED
2.186.114.66:8080,N/A,N/A,N/A,N/A,FAILED
111.132.16.22:3389,N/A,N/A,N/A,N/A,FAILED
216.158.246.90:51012,N/A,N/A,N/A,N/A,FAILED
41.220.138.246:8040,N/A,N/A,N/A,N/A,FAILED
38.255.23.131:999,N/A,N/A,N/A,N/A,FAILED
177.72.156.75:8080,N/A,N/A,N/A,N/A,FAILED
78.28.152.111:80,N/A,N/A,N/A,N/A,FAILED
27.79.194.186:16000,N/A,N/A,N/A,N/A,FAILED
103.158.162.18:8080,N/A,N/A,N/A,N/A,FAILED
45.115.253.30:83,N/A,N/A,N/A,N/A,FAILED
103.165.157.248:8090,N/A,N/A,N/A,N/A,FAILED
58.187.175.215:16000,N/A,N/A,N/A,N/A,FAILED
27.79.248.34:16000,N/A,N/A,N/A,N/A,FAILED
103.162.54.203:8080,N/A,N/A,N/A,N/A,FAILED
186.26.92.180:58339,N/A,N/A,N/A,N/A,FAILED
103.247.23.181:1111,N/A,N/A,N/A,N/A,FAILED
27.79.164.240:16000,N/A,N/A,N/A,N/A,FAILED
41.40.175.222:8080,N/A,N/A,N/A,N/A,FAILED
27.79.239.226:16000,N/A,N/A,N/A,N/A,FAILED
27.79.156.251:16000,N/A,N/A,N/A,N/A,FAILED
